Time,Voltage,Current,RPM,Distance,Velocity,Soc
1,53.11,0.0,0,0.0,0.0,100
2,53.11,0.0,0,0.0,0.0,100
3,53.09,0.0,0,0.0,0.0,100
4,53.1,0.0,0,0.0,0.0,100
5,53.1,0.0,10920,86.24,310.46,100
6,53.03,0.37,195,87.78,5.54,100
7,53.04,0.36,390,90.86,11.09,100
8,53.04,0.37,195,92.4,5.54,100
9,53.04,0.34,195,93.94,5.54,100
10,53.04,0.37,390,97.02,11.09,100
11,53.04,0.36,195,98.56,5.54,100
12,53.04,0.37,390,101.64,11.09,100
13,53.04,0.35,390,104.72,11.09,100
14,53.03,0.36,195,106.26,5.54,100
15,53.03,0.37,390,109.34,11.09,100
16,53.02,0.51,390,112.42,11.09,100
17,53.01,0.52,390,115.5,11.09,100
18,53.01,0.5,390,118.58,11.09,100
19,53.0,0.62,585,123.2,16.63,100
20,53.0,0.53,390,126.28,11.09,100
21,52.97,0.66,585,130.9,16.63,100
22,52.99,0.58,585,135.52,16.63,100
23,52.98,0.68,585,140.14,16.63,100
24,52.99,0.64,585,144.76,16.63,100
25,52.97,0.83,585,149.38,16.63,100
26,52.96,0.8,585,154.0,16.63,100
27,52.96,0.74,585,158.62,16.63,100
28,52.96,0.73,585,163.24,16.63,100
29,52.93,0.96,780,169.4,22.18,100
30,52.93,0.85,780,175.56,22.18,100
31,52.92,0.84,585,180.18,16.63,100
32,52.93,0.88,780,186.34,22.18,100
33,52.89,1.03,780,192.5,22.18,100
34,52.87,1.05,780,198.66,22.18,100
35,52.89,1.02,780,204.82,22.18,100
36,52.87,1.21,1365,215.6,38.81,100
37,52.85,1.26,975,223.3,27.72,100
38,52.81,1.68,975,231.0,27.72,100
39,52.8,1.73,975,238.7,27.72,100
40,52.8,1.53,1365,249.48,38.81,100
